name,Gender,Continent_1,Country_1,Subregion_1,n_journals,community,EVC,degree,betweenness,EVC_pct,betweenness_pct,degree_pct
0000-0001-5139-444X,Male,Americas,United States of America,Northern America,3,1,0.8250783810859471,33,59.94371839093683,0.8405797101449275,0.8695652173913043,0.9565217391304348
0000-0001-6159-4947,Male,Europe,Italy,Southern Europe,2,1,0.7912307148256849,31,23.34659640316949,0.7101449275362319,0.6376811594202898,0.8043478260869565
0000-0001-6348-8734,Male,Europe,United Kingdom of Great Britain and Northern Ireland,Northern Europe,2,2,0.04582823787788175,6,8.746604463647808,0.07246376811594203,0.391304347826087,0.08695652173913043
0000-0001-6556-8041,Female,Oceania,Australia,Australia and New Zealand,2,1,0.7558244408276679,36,169.68890786704796,0.6956521739130435,0.9710144927536232,0.9710144927536232
0000-0001-6762-828X,Male,Europe,Italy,Southern Europe,2,1,0.7365409488111592,32,109.73476508945954,0.6231884057971014,0.9565217391304348,0.9347826086956522
0000-0001-6796-2958,Male,Americas,United States of America,Northern America,4,3,0.08393310101082159,18,25.839528518437188,0.21739130434782608,0.7391304347826086,0.34057971014492755
0000-0001-7015-2075,Male,Europe,Netherlands (Kingdom of the),Western Europe,2,3,0.22428964146143712,22,66.88482667017531,0.5217391304347826,0.8985507246376812,0.5217391304347826
0000-0001-7037-089X,Male,Asia,India,Southern Asia,2,4,0.08693178044770265,12,27.532044705076842,0.2608695652173913,0.7536231884057971,0.26811594202898553
0000-0001-7176-4604,Male,Europe,Austria,Western Europe,2,4,0.08691132644539161,11,8.655284700679436,0.2463768115942029,0.34782608695652173,0.2318840579710145
0000-0001-7687-9267,Male,Asia,China,Eastern Asia,3,1,0.808209706589134,29,8.923153325779044,0.8043478260869565,0.42028985507246375,0.644927536231884
0000-0001-8008-6198,Male,Americas,Mexico,Central America,2,3,0.19099759932027152,21,12.827014557995511,0.463768115942029,0.5289855072463768,0.45652173913043476
0000-0001-8743-7800,Male,Europe,United Kingdom of Great Britain and Northern Ireland,Northern Europe,2,1,1,31,7.457792615880852,0.9855072463768116,0.2608695652173913,0.8043478260869565
0000-0001-8994-5251,Male,Americas,United States of America,Northern America,2,3,0.16722545597445657,21,25.239305264533463,0.36231884057971014,0.7101449275362319,0.45652173913043476
0000-0001-9123-0845,Male,Europe,Ireland,Northern Europe,2,5,0.05839705921567173,6,4.147689396124582,0.15942028985507245,0.13043478260869565,0.08695652173913043
0000-0001-9136-0949,Male,Asia,China,Eastern Asia,2,1,0.7326518323607097,29,33.99973133916532,0.5942028985507246,0.8260869565217391,0.644927536231884
0000-0001-9139-2721,Male,Americas,United States of America,Northern America,2,6,0.034927244997919965,7,0.37606837606837606,0.043478260869565216,0.028985507246376812,0.13043478260869565
0000-0001-9376-8366,Male,Americas,United States of America,Northern America,3,3,0.20757293900693646,27,56.993160398716846,0.5072463768115942,0.855072463768116,0.5579710144927537
0000-0001-9764-685X,Male,Europe,Spain,Southern Europe,2,3,0.15245836242268707,20,20.93460714187869,0.30434782608695654,0.5942028985507246,0.37681159420289856
0000-0002-0139-3913,Male,Europe,Netherlands (Kingdom of the),Western Europe,2,7,0.05046962484336118,11,7.42100246244983,0.10144927536231885,0.18840579710144928,0.2318840579710145
0000-0002-0544-6744,Male,Americas,Canada,Northern America,2,1,0.791230714825685,31,23.34659640316949,0.7318840579710145,0.6376811594202898,0.8043478260869565
0000-0002-0724-5962,Male,Europe,Netherlands (Kingdom of the),Western Europe,2,1,0.9999999999999999,31,7.457792615880852,0.9347826086956522,0.2608695652173913,0.8043478260869565
0000-0002-1241-5225,Male,Europe,Germany,Western Europe,2,8,0.1636382404404718,10,8.71218819753686,0.34782608695652173,0.36231884057971014,0.1956521739130435
0000-0002-1579-7134,Male,Europe,Greece,Southern Europe,2,5,0.058397059215671704,6,4.147689396124582,0.14492753623188406,0.13043478260869565,0.08695652173913043
0000-0002-2085-0446,Female,Europe,United Kingdom of Great Britain and Northern Ireland,Northern Europe,2,3,0.19099759932027147,21,12.827014557995511,0.43478260869565216,0.5289855072463768,0.45652173913043476
0000-0002-2198-6740,Female,Europe,Portugal,Southern Europe,2,1,0.7914151839088636,31,23.440824453324446,0.7681159420289855,0.6811594202898551,0.8043478260869565
0000-0002-2294-6521,Female,Europe,Germany,Western Europe,2,4,0.09493992430128916,18,25.819965856110365,0.2753623188405797,0.7246376811594203,0.34057971014492755
0000-0002-2580-5361,Female,Americas,Canada,Northern America,2,3,0.1909975993202714,21,12.827014557995511,0.42028985507246375,0.5289855072463768,0.45652173913043476
0000-0002-2759-6727,Male,Americas,United States of America,Northern America,2,3,0.43287445755257353,28,81.98468605783621,0.5797101449275363,0.927536231884058,0.5942028985507246
0000-0002-3332-4621,Female,Americas,United States of America,Northern America,2,6,0.04835284025054173,8,11.444036155101248,0.08695652173913043,0.4782608695652174,0.14492753623188406
0000-0002-3654-1437,Male,Asia,Cyprus,Western Asia,2,5,0.058397059215671766,6,4.147689396124582,0.17391304347826086,0.13043478260869565,0.08695652173913043
0000-0002-3745-9128,Male,Asia,China,Eastern Asia,2,1,0.791230714825685,31,23.34659640316949,0.7318840579710145,0.6376811594202898,0.8043478260869565
0000-0002-4050-3281,Male,Europe,Sweden,Northern Europe,4,3,0.2424802379157119,27,51.80905432485145,0.5362318840579711,0.8405797101449275,0.5579710144927537
0000-0002-4300-1551,Male,Asia,Thailand,South-eastern Asia,2,1,0.8082097065891343,29,8.923153325779044,0.8260869565217391,0.42028985507246375,0.644927536231884
0000-0002-4617-6197,Male,Europe,Sweden,Northern Europe,2,3,0.18869889838024106,24,31.970433015556853,0.4057971014492754,0.782608695652174,0.5362318840579711
0000-0002-4776-3748,Female,Europe,Sweden,Northern Europe,2,3,0.19099759932027152,21,12.827014557995511,0.463768115942029,0.5289855072463768,0.45652173913043476
0000-0002-4928-2446,Female,Americas,United States of America,Northern America,3,4,0.0789752608604366,14,7.246394145929749,0.2028985507246377,0.17391304347826086,0.2971014492753623
0000-0002-5094-6326,Male,Asia,China,Eastern Asia,2,1,1,31,7.457792615880852,0.9855072463768116,0.2608695652173913,0.8043478260869565
0000-0002-5600-0726,Male,Europe,Sweden,Northern Europe,2,1,0.7914151839088636,31,23.440824453324446,0.7681159420289855,0.6811594202898551,0.8043478260869565
0000-0002-6079-3554,Female,Europe,Portugal,Southern Europe,2,1,0.7914151839088636,31,23.440824453324446,0.7681159420289855,0.6811594202898551,0.8043478260869565
0000-0002-6365-4082,Male,Europe,Netherlands (Kingdom of the),Western Europe,2,1,0.8518821158466501,44,190.28468912692972,0.855072463768116,0.9927536231884058,0.9927536231884058
0000-0002-7613-1985,Male,Europe,Denmark,Northern Europe,2,1,0.9999999999999999,31,7.457792615880852,0.9347826086956522,0.2608695652173913,0.8043478260869565
0000-0002-7723-0635,Male,Europe,Austria,Western Europe,2,1,0.9999999999999998,31,7.457792615880852,0.8913043478260869,0.2608695652173913,0.8043478260869565
0000-0002-7927-3348,Male,Asia,Republic of Korea,Eastern Asia,2,5,0.027838192808692503,4,0.6000000000000001,0.028985507246376812,0.043478260869565216,0.014492753623188406
0000-0002-7993-5540,Male,Asia,China,Eastern Asia,2,1,0.7330095001227355,30,72.92460118597079,0.6086956521739131,0.9130434782608695,0.6811594202898551
0000-0002-8229-2929,Male,Europe,Netherlands (Kingdom of the),Western Europe,2,1,0.9999999999999999,31,7.457792615880852,0.9347826086956522,0.2608695652173913,0.8043478260869565
0000-0002-8256-6942,Female,Asia,China,Eastern Asia,2,1,0.9999999999999998,31,7.457792615880852,0.8913043478260869,0.2608695652173913,0.8043478260869565
0000-0002-8270-4022,Male,Europe,Portugal,Southern Europe,2,1,0.7528308192159948,28,2.0163780663780666,0.6666666666666666,0.09420289855072464,0.5942028985507246
0000-0002-8279-9666,Male,Oceania,Australia,Australia and New Zealand,2,1,0.7408637686985895,32,65.58817195876017,0.6376811594202898,0.8840579710144928,0.9347826086956522
0000-0002-9270-8860,Female,Asia,Thailand,South-eastern Asia,2,4,0.05153768079143794,10,7.12872084982665,0.11594202898550725,0.15942028985507245,0.1956521739130435
0000-0003-0132-8051,Male,Africa,Nigeria,Western Africa,2,9,0.03548616485139367,6,7.937130623000187,0.057971014492753624,0.3333333333333333,0.08695652173913043
0000-0003-0173-0112,Male,Europe,Sweden,Northern Europe,2,3,0.1909975993202718,21,12.827014557995511,0.4927536231884058,0.5289855072463768,0.45652173913043476
0000-0003-0200-2133,Female,Europe,Finland,Northern Europe,2,2,0.33110733962003464,15,18.06015134246558,0.5652173913043478,0.5797101449275363,0.3188405797101449
0000-0003-0291-2735,Male,Americas,United States of America,Northern America,2,2,0.12233805444571966,9,10.205039543208084,0.2898550724637681,0.463768115942029,0.16666666666666666
0000-0003-0956-7997,Male,Europe,Austria,Western Europe,2,1,0.7528308192159949,28,2.0163780663780666,0.6811594202898551,0.09420289855072464,0.5942028985507246
0000-0003-1861-8813,Male,Europe,Italy,Southern Europe,2,8,0.18043276312074213,9,1.7686507936507936,0.391304347826087,0.057971014492753624,0.16666666666666666
0000-0003-2400-2839,Male,Europe,Netherlands (Kingdom of the),Western Europe,2,1,0.9999999999999999,31,7.457792615880852,0.9347826086956522,0.2608695652173913,0.8043478260869565
0000-0003-2463-6735,Male,Americas,United States of America,Northern America,2,4,0.0583011055563262,12,22.350319217395874,0.13043478260869565,0.6086956521739131,0.26811594202898553
0000-0003-2516-2412,Female,Asia,Japan,Eastern Asia,2,3,0.19099759932027152,21,12.827014557995511,0.463768115942029,0.5289855072463768,0.45652173913043476
0000-0003-2561-6090,Male,Europe,Netherlands (Kingdom of the),Western Europe,2,1,1,31,7.457792615880852,0.9855072463768116,0.2608695652173913,0.8043478260869565
0000-0003-2734-851X,Male,Africa,Ghana,Western Africa,2,3,0.15435878057530855,20,33.46071541286072,0.3333333333333333,0.8043478260869565,0.37681159420289856
0000-0003-3163-6119,Male,Americas,Brazil,South America,2,10,0.08433827698395352,5,0.1,0.2318840579710145,0.014492753623188406,0.036231884057971016
0000-0003-3345-4538,Female,Europe,Austria,Western Europe,2,11,0.33108688561772365,14,9.121085521805334,0.5507246376811594,0.4492753623188406,0.2971014492753623
0000-0003-3572-268X,Male,Americas,United States of America,Northern America,2,1,0.7500945439118006,31,29.06322388577218,0.6521739130434783,0.7681159420289855,0.8043478260869565
0000-0003-4065-5194,Female,Europe,Germany,Western Europe,2,12,0.07176731583433078,11,8.727597405847177,0.18840579710144928,0.37681159420289856,0.2318840579710145
0000-0003-4138-6897,Male,Asia,TÃ¼rkiye,Western Asia,2,3,0.17373822625116292,21,93.8847667675723,0.37681159420289856,0.9420289855072463,0.45652173913043476
0000-0003-4144-0208,Male,Asia,China,Eastern Asia,2,1,0.8518821158466502,44,190.28468912692972,0.8695652173913043,0.9927536231884058,0.9927536231884058
0000-0003-4244-2854,Male,Europe,United Kingdom of Great Britain and Northern Ireland,Northern Europe,2,7,0.013830806098398048,5,1.9026315789473685,0.014492753623188406,0.07246376811594203,0.036231884057971016
0000-0003-4346-3163,Male,Asia,Japan,Eastern Asia,2,3,0.1543587805753085,20,33.46071541286072,0.3188405797101449,0.8043478260869565,0.37681159420289856
0009-0003-8058-6282,Female,Europe,Romania,Eastern Europe,2,1,0.808209706589134,29,8.923153325779044,0.8043478260869565,0.42028985507246375,0.644927536231884
